Date,Open,High,Low,Close,Adj Close,Volume
2013-05-31,43.473331,43.826668,43.006668,43.006668,40.231300,853500
2013-06-03,42.939999,43.000000,42.093334,42.826668,40.062931,937600
2013-06-04,42.826668,43.099998,41.833332,42.180000,39.457977,1371300
2013-06-05,42.020000,42.166668,41.686668,41.833332,39.133686,880800
2013-06-06,41.846668,42.639999,41.673332,42.639999,39.888302,789300
2013-06-07,42.919998,43.333332,42.673332,43.306667,40.511944,579400
2013-06-10,43.360001,43.560001,43.279999,43.406666,40.605488,584700
2013-06-11,42.299999,43.353333,42.299999,42.913334,40.143993,565600
2013-06-12,43.119999,43.606667,42.913334,43.000000,40.225060,1072800
2013-06-13,43.026669,43.626667,42.799999,43.526669,40.717735,585700
2013-06-14,43.493332,43.506668,42.846668,43.106667,40.324848,498400
2013-06-17,43.386665,43.706665,43.353333,43.593334,40.780106,732900
2013-06-18,43.593334,43.599998,43.139999,43.513332,40.705261,770100
2013-06-19,43.553333,43.919998,43.200001,43.200001,40.412155,557500
2013-06-20,42.913334,43.473331,42.733334,43.086666,40.306129,906000
2013-06-21,43.426666,43.426666,42.820000,43.033333,40.256245,791700
2013-06-24,42.639999,42.799999,42.259998,42.560001,39.813457,629400
2013-06-25,42.933334,43.193333,42.466667,43.066666,40.287426,557800
2013-06-26,43.346668,43.533333,43.046665,43.360001,40.561844,320100
2013-06-27,43.613335,43.886665,43.433334,43.813332,40.985909,521400
2013-06-28,43.353333,43.693333,43.180000,43.426666,40.624180,812700
2013-07-01,43.653332,44.000000,43.633335,43.886665,41.054504,705000
2013-07-02,43.786667,44.073334,43.646667,43.959999,41.283024,693400
2013-07-03,43.733334,44.173332,43.720001,43.886665,41.214153,337200
2013-07-05,44.266666,44.726665,44.200001,44.720001,41.996750,626200
2013-07-08,44.966667,45.326668,44.933334,45.093334,42.347347,591700
2013-07-09,45.400002,45.613335,45.306667,45.373333,42.610291,817200
2013-07-10,45.233334,45.833332,45.200001,45.720001,42.935863,569400
2013-07-11,46.259998,46.326668,45.726665,45.919998,43.123669,822700
2013-07-12,45.386665,46.186668,45.386665,46.160000,43.349045,877200
